user_input,retrieved_contexts,response,reference,answer_relevancy,context_precision,faithfulness,context_recall
What does sustainable development mean?,"[""Sustainable Development\nA Guide for Everyone\nWhat is Sustainable Development?\nSustainable development means using the earth's resources in a way that meets the needs of\npeople today, without taking away the ability of future generations to meet their own needs. In\nother words, we should live well now, but not at the cost of those who come after us.\nThink of it like a bank account. If you spend all your savings today, you leave nothing for\ntomorrow. Sustainable development is about finding a balance so that people now and in the\nfuture can all live well.\nThe Three Pillars\nSustainable development rests on three main areas that must work together:\n  - Economic growth: People need jobs, income, and the chance to build a good life. Growth"", ""Sustainable Development\nA Guide for Everyone\nWhat is Sustainable Development?\nSustainable development means using the earth's resources in a way that meets the needs of\npeople today, without taking away the ability of future generations to meet their own needs. In\nother words, we should live well now, but not at the cost of those who come after us.\nThink of it like a bank account. If you spend all your savings today, you leave nothing for\ntomorrow. Sustainable development is about finding a balance so that people now and in the\nfuture can all live well.\nThe Three Pillars\nSustainable development rests on three main areas that must work together:\n  - Economic growth: People need jobs, income, and the chance to build a good life. Growth"", '- Sharing: Borrowing tools or renting items you only need occasionally, rather than buying and\nowning everything.\n  - Buying second-hand: Giving items a second life instead of producing new ones from scratch.\nA Fair Society for Everyone\nSustainable development is not just about the environment. It is also about making sure that all\npeople can live with dignity and have their basic needs met.\nSocial equity means that no person should be left without the essentials of a good life. Everyone\nshould have access to:\n  - Clean, safe drinking water\n  - Basic education and the chance to learn\n  - Healthcare when they are sick\n  - A safe home and enough food to eat\nGender equality is also a key part of this. When women and girls have the same rights and', '- Sharing: Borrowing tools or renting items you only need occasionally, rather than buying and\nowning everything.\n  - Buying second-hand: Giving items a second life instead of producing new ones from scratch.\nA Fair Society for Everyone\nSustainable development is not just about the environment. It is also about making sure that all\npeople can live with dignity and have their basic needs met.\nSocial equity means that no person should be left without the essentials of a good life. Everyone\nshould have access to:\n  - Clean, safe drinking water\n  - Basic education and the chance to learn\n  - Healthcare when they are sick\n  - A safe home and enough food to eat\nGender equality is also a key part of this. When women and girls have the same rights and']","

Sustainable development refers to a balanced approach where today's needs are met without compromising future generations' ability to meet theirs. It emphasizes economic growth, sharing of resources, buying second-hand items, and ensuring access to essential services like clean water, education, healthcare, safe homes, and sufficient food for everyone. This concept is rooted in the idea of creating a fair society where all individuals have equal opportunities to live with dignity and basic needs.",Development that meets today's needs without preventing future generations from meeting their own needs,0.9444255089887676,0.999999999975,1.0,1.0
What are the three pillars of sustainable development?,"[""Sustainable Development\nA Guide for Everyone\nWhat is Sustainable Development?\nSustainable development means using the earth's resources in a way that meets the needs of\npeople today, without taking away the ability of future generations to meet their own needs. In\nother words, we should live well now, but not at the cost of those who come after us.\nThink of it like a bank account. If you spend all your savings today, you leave nothing for\ntomorrow. Sustainable development is about finding a balance so that people now and in the\nfuture can all live well.\nThe Three Pillars\nSustainable development rests on three main areas that must work together:\n  - Economic growth: People need jobs, income, and the chance to build a good life. Growth"", ""Sustainable Development\nA Guide for Everyone\nWhat is Sustainable Development?\nSustainable development means using the earth's resources in a way that meets the needs of\npeople today, without taking away the ability of future generations to meet their own needs. In\nother words, we should live well now, but not at the cost of those who come after us.\nThink of it like a bank account. If you spend all your savings today, you leave nothing for\ntomorrow. Sustainable development is about finding a balance so that people now and in the\nfuture can all live well.\nThe Three Pillars\nSustainable development rests on three main areas that must work together:\n  - Economic growth: People need jobs, income, and the chance to build a good life. Growth"", '- Economic growth: People need jobs, income, and the chance to build a good life. Growth\nshould create opportunities for everyone, not just a few.\n  - Social inclusion: Every person should have fair access to education, healthcare, food, water,\nand a safe place to live. No one should be left behind.\n  - Environmental protection: We must take care of the natural world. Clean air, clean water,\nhealthy forests, and a stable climate are essential for all life on earth.', '- Economic growth: People need jobs, income, and the chance to build a good life. Growth\nshould create opportunities for everyone, not just a few.\n  - Social inclusion: Every person should have fair access to education, healthcare, food, water,\nand a safe place to live. No one should be left behind.\n  - Environmental protection: We must take care of the natural world. Clean air, clean water,\nhealthy forests, and a stable climate are essential for all life on earth.']","

The three pillars of sustainable development are:

1. **Economic Growth**: Ensures jobs, income, and opportunities for all, providing the foundation for a good life.
2. **Social Inclusion**: Provides fair access to education, healthcare, food, water, and safety, ensuring no one is left behind.
3. **Environmental Protection**: Focuses on clean air, clean water, healthy forests, and stable climates, maintaining the balance necessary for future generations.

These pillars work together to create a comprehensive approach to sustainable development.","Economic growth, social inclusion, and environmental protection",0.9993624276084734,0.8055555555287036,0.8,1.0
How many global goals did countries agree on in the 2030 Agenda?,"['The 17 Global Goals\nIn 2015, countries from around the world came together and agreed on 17 Sustainable\nDevelopment Goals, also called the SDGs. These goals form a plan called the 2030 Agenda\nbecause all countries agreed to try to reach them by the year 2030.\nThe goals cover a wide range of topics:\n  - No poverty and no hunger\n  - Good health and quality education for all\n  - Clean water and clean energy for everyone\n  - Decent work and fair economic growth\n  - Reduced inequality between people and countries\n  - Climate action and protection of oceans and land\nBy working on all 17 goals together, the world can move toward a future where every person can\nlive with dignity and opportunity.\nClimate Change', 'The 17 Global Goals\nIn 2015, countries from around the world came together and agreed on 17 Sustainable\nDevelopment Goals, also called the SDGs. These goals form a plan called the 2030 Agenda\nbecause all countries agreed to try to reach them by the year 2030.\nThe goals cover a wide range of topics:\n  - No poverty and no hunger\n  - Good health and quality education for all\n  - Clean water and clean energy for everyone\n  - Decent work and fair economic growth\n  - Reduced inequality between people and countries\n  - Climate action and protection of oceans and land\nBy working on all 17 goals together, the world can move toward a future where every person can\nlive with dignity and opportunity.\nClimate Change', 'clean energy.\nGovernments set the rules that shape what is possible. They can create laws that protect the\nenvironment, invest in clean transport and energy systems, provide good schools and healthcare,\nand make sure that the benefits of growth are shared fairly.\nConclusion\nSustainable development is about building a world where both people and the planet can thrive. It\nasks us to think beyond today and consider the world we will leave behind.\nThe 17 Global Goals, the Paris Agreement, and ideas like the circular economy all point in the\nsame direction: a future where no one is left behind and the natural world is healthy enough to\nsupport life for generations to come.\nEach one of us, in our own way, can be part of this change.', 'clean energy.\nGovernments set the rules that shape what is possible. They can create laws that protect the\nenvironment, invest in clean transport and energy systems, provide good schools and healthcare,\nand make sure that the benefits of growth are shared fairly.\nConclusion\nSustainable development is about building a world where both people and the planet can thrive. It\nasks us to think beyond today and consider the world we will leave behind.\nThe 17 Global Goals, the Paris Agreement, and ideas like the circular economy all point in the\nsame direction: a future where no one is left behind and the natural world is healthy enough to\nsupport life for generations to come.\nEach one of us, in our own way, can be part of this change.']","

The countries from around the world agreed on all 17 Sustainable Development Goals in 2015, also known as the 2030 Agenda. These goals cover a wide range of topics including no poverty, good health, clean water, decent work, reduced inequality, climate action, and more.

**Answer:** They agreed on all 17 Global Goals.",17 Sustainable Development Goals,0.7329169809898396,0.999999999975,0.75,1.0
What is the Paris Agreement's temperature target?,"['By working on all 17 goals together, the world can move toward a future where every person can\nlive with dignity and opportunity.\nClimate Change\nClimate change is one of the biggest challenges we face. The earth is getting warmer because\nwe burn too much coal, oil, and gas, which releases gases that trap heat in the air.\nIn 2015, countries signed the Paris Agreement, a promise to work together to slow down global\nwarming. The main target is to keep the earth from warming more than 1.5 degrees Celsius\ncompared to temperatures before the industrial age.\nIf the earth warms by more than 1.5 degrees Celsius, the risks of serious problems become much\ngreater. We would see more floods, longer droughts, stronger storms, and rising sea levels. To', 'By working on all 17 goals together, the world can move toward a future where every person can\nlive with dignity and opportunity.\nClimate Change\nClimate change is one of the biggest challenges we face. The earth is getting warmer because\nwe burn too much coal, oil, and gas, which releases gases that trap heat in the air.\nIn 2015, countries signed the Paris Agreement, a promise to work together to slow down global\nwarming. The main target is to keep the earth from warming more than 1.5 degrees Celsius\ncompared to temperatures before the industrial age.\nIf the earth warms by more than 1.5 degrees Celsius, the risks of serious problems become much\ngreater. We would see more floods, longer droughts, stronger storms, and rising sea levels. To', 'The 17 Global Goals\nIn 2015, countries from around the world came together and agreed on 17 Sustainable\nDevelopment Goals, also called the SDGs. These goals form a plan called the 2030 Agenda\nbecause all countries agreed to try to reach them by the year 2030.\nThe goals cover a wide range of topics:\n  - No poverty and no hunger\n  - Good health and quality education for all\n  - Clean water and clean energy for everyone\n  - Decent work and fair economic growth\n  - Reduced inequality between people and countries\n  - Climate action and protection of oceans and land\nBy working on all 17 goals together, the world can move toward a future where every person can\nlive with dignity and opportunity.\nClimate Change', 'The 17 Global Goals\nIn 2015, countries from around the world came together and agreed on 17 Sustainable\nDevelopment Goals, also called the SDGs. These goals form a plan called the 2030 Agenda\nbecause all countries agreed to try to reach them by the year 2030.\nThe goals cover a wide range of topics:\n  - No poverty and no hunger\n  - Good health and quality education for all\n  - Clean water and clean energy for everyone\n  - Decent work and fair economic growth\n  - Reduced inequality between people and countries\n  - Climate action and protection of oceans and land\nBy working on all 17 goals together, the world can move toward a future where every person can\nlive with dignity and opportunity.\nClimate Change']","

The Paris Agreement's temperature target was 1.5 degrees Celsius.",Limit global warming to 1.5 degrees Celsius above pre-industrial levels,0.9702359884026799,0.99999999995,1.0,1.0
What does a circular economy try to reduce?,"['The Circular Economy\nMost of the time, we follow a straight-line pattern: we make something, use it, and then throw it\naway. This creates a lot of waste and uses up natural resources quickly.\nA circular economy works differently. The idea is to keep things in use for as long as possible and\nproduce as little waste as we can. Instead of throwing things away, we fix them, share them, or\nrecycle them.\nHere are some simple examples of circular economy actions:\n  - Recycling: Turning old paper, glass, or plastic into new materials instead of sending them to\nlandfill.\n  - Repairing: Fixing a broken phone or a torn piece of clothing instead of buying new ones.\n  - Sharing: Borrowing tools or renting items you only need occasionally, rather than buying and\nowning everything.', 'The Circular Economy\nMost of the time, we follow a straight-line pattern: we make something, use it, and then throw it\naway. This creates a lot of waste and uses up natural resources quickly.\nA circular economy works differently. The idea is to keep things in use for as long as possible and\nproduce as little waste as we can. Instead of throwing things away, we fix them, share them, or\nrecycle them.\nHere are some simple examples of circular economy actions:\n  - Recycling: Turning old paper, glass, or plastic into new materials instead of sending them to\nlandfill.\n  - Repairing: Fixing a broken phone or a torn piece of clothing instead of buying new ones.\n  - Sharing: Borrowing tools or renting items you only need occasionally, rather than buying and\nowning everything.', '- Economic growth: People need jobs, income, and the chance to build a good life. Growth\nshould create opportunities for everyone, not just a few.\n  - Social inclusion: Every person should have fair access to education, healthcare, food, water,\nand a safe place to live. No one should be left behind.\n  - Environmental protection: We must take care of the natural world. Clean air, clean water,\nhealthy forests, and a stable climate are essential for all life on earth.', '- Economic growth: People need jobs, income, and the chance to build a good life. Growth\nshould create opportunities for everyone, not just a few.\n  - Social inclusion: Every person should have fair access to education, healthcare, food, water,\nand a safe place to live. No one should be left behind.\n  - Environmental protection: We must take care of the natural world. Clean air, clean water,\nhealthy forests, and a stable climate are essential for all life on earth.']","

A circular economy aims to reduce waste by keeping things longer and using them more efficiently, promoting sustainability.","Waste, by keeping products and materials in use for as long as possible",0.900169327139408,0.99999999995,1.0,1.0
What are two examples of circular economy actions?,"['The Circular Economy\nMost of the time, we follow a straight-line pattern: we make something, use it, and then throw it\naway. This creates a lot of waste and uses up natural resources quickly.\nA circular economy works differently. The idea is to keep things in use for as long as possible and\nproduce as little waste as we can. Instead of throwing things away, we fix them, share them, or\nrecycle them.\nHere are some simple examples of circular economy actions:\n  - Recycling: Turning old paper, glass, or plastic into new materials instead of sending them to\nlandfill.\n  - Repairing: Fixing a broken phone or a torn piece of clothing instead of buying new ones.\n  - Sharing: Borrowing tools or renting items you only need occasionally, rather than buying and\nowning everything.', 'The Circular Economy\nMost of the time, we follow a straight-line pattern: we make something, use it, and then throw it\naway. This creates a lot of waste and uses up natural resources quickly.\nA circular economy works differently. The idea is to keep things in use for as long as possible and\nproduce as little waste as we can. Instead of throwing things away, we fix them, share them, or\nrecycle them.\nHere are some simple examples of circular economy actions:\n  - Recycling: Turning old paper, glass, or plastic into new materials instead of sending them to\nlandfill.\n  - Repairing: Fixing a broken phone or a torn piece of clothing instead of buying new ones.\n  - Sharing: Borrowing tools or renting items you only need occasionally, rather than buying and\nowning everything.', 'What Can We Do?\nSustainable development is not only the job of governments or big companies. Every person\nplays a part.\nAs individuals, we can:\n  - Reduce the energy we use at home by switching off lights and using efficient appliances\n  - Choose public transport, cycling, or walking instead of driving when we can\n  - Buy less and choose products that are made to last or made in a responsible way\n  - Avoid wasting food and compost what we do not use\nBusinesses have an important role too. Companies can choose suppliers who treat workers fairly,\nreduce the pollution they produce, design products that can be repaired or recycled, and invest in\nclean energy.\nGovernments set the rules that shape what is possible. They can create laws that protect the', 'What Can We Do?\nSustainable development is not only the job of governments or big companies. Every person\nplays a part.\nAs individuals, we can:\n  - Reduce the energy we use at home by switching off lights and using efficient appliances\n  - Choose public transport, cycling, or walking instead of driving when we can\n  - Buy less and choose products that are made to last or made in a responsible way\n  - Avoid wasting food and compost what we do not use\nBusinesses have an important role too. Companies can choose suppliers who treat workers fairly,\nreduce the pollution they produce, design products that can be repaired or recycled, and invest in\nclean energy.\nGovernments set the rules that shape what is possible. They can create laws that protect the']","

The two examples of circular economy actions from the context are recycling and repairing.",Recycling and repairing products instead of throwing them away,0.9834343887073707,0.999999999975,1.0,1.0
What basic needs are highlighted under social equity?,"['- Sharing: Borrowing tools or renting items you only need occasionally, rather than buying and\nowning everything.\n  - Buying second-hand: Giving items a second life instead of producing new ones from scratch.\nA Fair Society for Everyone\nSustainable development is not just about the environment. It is also about making sure that all\npeople can live with dignity and have their basic needs met.\nSocial equity means that no person should be left without the essentials of a good life. Everyone\nshould have access to:\n  - Clean, safe drinking water\n  - Basic education and the chance to learn\n  - Healthcare when they are sick\n  - A safe home and enough food to eat\nGender equality is also a key part of this. When women and girls have the same rights and', '- Sharing: Borrowing tools or renting items you only need occasionally, rather than buying and\nowning everything.\n  - Buying second-hand: Giving items a second life instead of producing new ones from scratch.\nA Fair Society for Everyone\nSustainable development is not just about the environment. It is also about making sure that all\npeople can live with dignity and have their basic needs met.\nSocial equity means that no person should be left without the essentials of a good life. Everyone\nshould have access to:\n  - Clean, safe drinking water\n  - Basic education and the chance to learn\n  - Healthcare when they are sick\n  - A safe home and enough food to eat\nGender equality is also a key part of this. When women and girls have the same rights and', '- Economic growth: People need jobs, income, and the chance to build a good life. Growth\nshould create opportunities for everyone, not just a few.\n  - Social inclusion: Every person should have fair access to education, healthcare, food, water,\nand a safe place to live. No one should be left behind.\n  - Environmental protection: We must take care of the natural world. Clean air, clean water,\nhealthy forests, and a stable climate are essential for all life on earth.', '- Economic growth: People need jobs, income, and the chance to build a good life. Growth\nshould create opportunities for everyone, not just a few.\n  - Social inclusion: Every person should have fair access to education, healthcare, food, water,\nand a safe place to live. No one should be left behind.\n  - Environmental protection: We must take care of the natural world. Clean air, clean water,\nhealthy forests, and a stable climate are essential for all life on earth.']","

The basic needs highlighted under social equity include:

1. Clean, safe drinking water
2. Basic education and the chance to learn
3. Healthcare when they are sick
4. A safe home and enough food to eat","Access to clean water, basic education, and healthcare for all people",0.989861052121032,0.999999999975,1.0,1.0
What role do individuals play in sustainable development?,"['What Can We Do?\nSustainable development is not only the job of governments or big companies. Every person\nplays a part.\nAs individuals, we can:\n  - Reduce the energy we use at home by switching off lights and using efficient appliances\n  - Choose public transport, cycling, or walking instead of driving when we can\n  - Buy less and choose products that are made to last or made in a responsible way\n  - Avoid wasting food and compost what we do not use\nBusinesses have an important role too. Companies can choose suppliers who treat workers fairly,\nreduce the pollution they produce, design products that can be repaired or recycled, and invest in\nclean energy.\nGovernments set the rules that shape what is possible. They can create laws that protect the', 'What Can We Do?\nSustainable development is not only the job of governments or big companies. Every person\nplays a part.\nAs individuals, we can:\n  - Reduce the energy we use at home by switching off lights and using efficient appliances\n  - Choose public transport, cycling, or walking instead of driving when we can\n  - Buy less and choose products that are made to last or made in a responsible way\n  - Avoid wasting food and compost what we do not use\nBusinesses have an important role too. Companies can choose suppliers who treat workers fairly,\nreduce the pollution they produce, design products that can be repaired or recycled, and invest in\nclean energy.\nGovernments set the rules that shape what is possible. They can create laws that protect the', 'clean energy.\nGovernments set the rules that shape what is possible. They can create laws that protect the\nenvironment, invest in clean transport and energy systems, provide good schools and healthcare,\nand make sure that the benefits of growth are shared fairly.\nConclusion\nSustainable development is about building a world where both people and the planet can thrive. It\nasks us to think beyond today and consider the world we will leave behind.\nThe 17 Global Goals, the Paris Agreement, and ideas like the circular economy all point in the\nsame direction: a future where no one is left behind and the natural world is healthy enough to\nsupport life for generations to come.\nEach one of us, in our own way, can be part of this change.', 'clean energy.\nGovernments set the rules that shape what is possible. They can create laws that protect the\nenvironment, invest in clean transport and energy systems, provide good schools and healthcare,\nand make sure that the benefits of growth are shared fairly.\nConclusion\nSustainable development is about building a world where both people and the planet can thrive. It\nasks us to think beyond today and consider the world we will leave behind.\nThe 17 Global Goals, the Paris Agreement, and ideas like the circular economy all point in the\nsame direction: a future where no one is left behind and the natural world is healthy enough to\nsupport life for generations to come.\nEach one of us, in our own way, can be part of this change.']","

Individuals play a crucial role in sustainable development by making specific choices that contribute to environmental and social benefits. These include:

1. Reducing energy consumption at home by switching off lights and using efficient appliances.
2. Choosing public transport, cycling, or walking instead of driving when possible.
3. Buying products made to last or produced responsibly.
4. Avoiding waste and composting unused food.

These actions exemplify the individual's contribution to sustainable development.","Individuals can reduce waste, save energy, and make eco-friendly choices",0.8663271810322194,0.999999999975,,1.0
Why is limiting global warming to 1.5 degrees Celsius important?,"['By working on all 17 goals together, the world can move toward a future where every person can\nlive with dignity and opportunity.\nClimate Change\nClimate change is one of the biggest challenges we face. The earth is getting warmer because\nwe burn too much coal, oil, and gas, which releases gases that trap heat in the air.\nIn 2015, countries signed the Paris Agreement, a promise to work together to slow down global\nwarming. The main target is to keep the earth from warming more than 1.5 degrees Celsius\ncompared to temperatures before the industrial age.\nIf the earth warms by more than 1.5 degrees Celsius, the risks of serious problems become much\ngreater. We would see more floods, longer droughts, stronger storms, and rising sea levels. To', 'By working on all 17 goals together, the world can move toward a future where every person can\nlive with dignity and opportunity.\nClimate Change\nClimate change is one of the biggest challenges we face. The earth is getting warmer because\nwe burn too much coal, oil, and gas, which releases gases that trap heat in the air.\nIn 2015, countries signed the Paris Agreement, a promise to work together to slow down global\nwarming. The main target is to keep the earth from warming more than 1.5 degrees Celsius\ncompared to temperatures before the industrial age.\nIf the earth warms by more than 1.5 degrees Celsius, the risks of serious problems become much\ngreater. We would see more floods, longer droughts, stronger storms, and rising sea levels. To', '- Economic growth: People need jobs, income, and the chance to build a good life. Growth\nshould create opportunities for everyone, not just a few.\n  - Social inclusion: Every person should have fair access to education, healthcare, food, water,\nand a safe place to live. No one should be left behind.\n  - Environmental protection: We must take care of the natural world. Clean air, clean water,\nhealthy forests, and a stable climate are essential for all life on earth.', '- Economic growth: People need jobs, income, and the chance to build a good life. Growth\nshould create opportunities for everyone, not just a few.\n  - Social inclusion: Every person should have fair access to education, healthcare, food, water,\nand a safe place to live. No one should be left behind.\n  - Environmental protection: We must take care of the natural world. Clean air, clean water,\nhealthy forests, and a stable climate are essential for all life on earth.']",,"Beyond 1.5 degrees Celsius, risks of floods, droughts, and extreme weather increase significantly",0.0,0.99999999995,,1.0
What is the target year for the Sustainable Development Goals?,"['The 17 Global Goals\nIn 2015, countries from around the world came together and agreed on 17 Sustainable\nDevelopment Goals, also called the SDGs. These goals form a plan called the 2030 Agenda\nbecause all countries agreed to try to reach them by the year 2030.\nThe goals cover a wide range of topics:\n  - No poverty and no hunger\n  - Good health and quality education for all\n  - Clean water and clean energy for everyone\n  - Decent work and fair economic growth\n  - Reduced inequality between people and countries\n  - Climate action and protection of oceans and land\nBy working on all 17 goals together, the world can move toward a future where every person can\nlive with dignity and opportunity.\nClimate Change', 'The 17 Global Goals\nIn 2015, countries from around the world came together and agreed on 17 Sustainable\nDevelopment Goals, also called the SDGs. These goals form a plan called the 2030 Agenda\nbecause all countries agreed to try to reach them by the year 2030.\nThe goals cover a wide range of topics:\n  - No poverty and no hunger\n  - Good health and quality education for all\n  - Clean water and clean energy for everyone\n  - Decent work and fair economic growth\n  - Reduced inequality between people and countries\n  - Climate action and protection of oceans and land\nBy working on all 17 goals together, the world can move toward a future where every person can\nlive with dignity and opportunity.\nClimate Change', 'By working on all 17 goals together, the world can move toward a future where every person can\nlive with dignity and opportunity.\nClimate Change\nClimate change is one of the biggest challenges we face. The earth is getting warmer because\nwe burn too much coal, oil, and gas, which releases gases that trap heat in the air.\nIn 2015, countries signed the Paris Agreement, a promise to work together to slow down global\nwarming. The main target is to keep the earth from warming more than 1.5 degrees Celsius\ncompared to temperatures before the industrial age.\nIf the earth warms by more than 1.5 degrees Celsius, the risks of serious problems become much\ngreater. We would see more floods, longer droughts, stronger storms, and rising sea levels. To', 'By working on all 17 goals together, the world can move toward a future where every person can\nlive with dignity and opportunity.\nClimate Change\nClimate change is one of the biggest challenges we face. The earth is getting warmer because\nwe burn too much coal, oil, and gas, which releases gases that trap heat in the air.\nIn 2015, countries signed the Paris Agreement, a promise to work together to slow down global\nwarming. The main target is to keep the earth from warming more than 1.5 degrees Celsius\ncompared to temperatures before the industrial age.\nIf the earth warms by more than 1.5 degrees Celsius, the risks of serious problems become much\ngreater. We would see more floods, longer droughts, stronger storms, and rising sea levels. To']","

The target year for the Sustainable Development Goals (SDGs) is 2030.",2030,0.9543662179512792,0.99999999995,1.0,1.0
